,Mars Year,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data
3956,32,D17,20,37.7,-48.15,-35.55,1385676.8,D17_038,D17_02,-21.25,-47.35,75,0
3957,32,D17,20,37.7,-74.05,-53.05,1060969.6,D17_044,D17_02,-42.75,-64.05,50,0
3958,32,D17,20,37.7,46.45,-47.75,177801.14,D17_053,,-43.15,-52.65,50,1
3959,32,D17,20,37.7,-113.45,-53.95,710946.94,D17_047,,-47.95,-59.45,50,0
3960,32,D17,20,37.7,12.85,-52.05,292060.19,D17_054,,-47.55,-56.75,75,1
3961,32,D17,20,37.7,-150.35,64.85,490391.69,D17_100,D17_05,77.45,50.55,50,1
3962,32,D17,20,37.7,175.45,64.45,397624.62,D17_101,D17_05,72.05,59.65,75,0
3963,32,D17,21,38.1,-45.95,-22.95,1137781.5,D17_038,D17_02,-8.749989999999999,-34.85,75,1
3964,32,D17,21,38.1,-65.75,-48.65,232290.59,D17_044,D17_02,-43.55,-54.05,50,0
3965,32,D17,21,38.1,41.05,-53.75,392714.88,D17_054,,-46.45,-61.55,75,1
3966,32,D17,21,38.1,-91.75,-43.05,8318.6553,D17_055,,-41.85,-44.05,100,1
3967,32,D17,21,38.1,153.95,60.85,3502821.8,D17_101,D17_05,75.85,44.05,75,0
3968,32,D17,22,38.5,-42.95,-24.75,1670068.2,D17_038,D17_02,-8.95,-40.15,50,1
3969,32,D17,22,38.5,152.65,58.95,4578017.0,D17_101,D17_05,74.35,40.95,75,1
3970,32,D17,22,38.5,-53.25,57.45,67627.547,D17_102,,61.25,53.45,75,1
3971,32,D17,23,39.0,104.35,-16.95,115177.21,D17_046,,-13.35,-22.15,75,1
3972,32,D17,23,39.0,100.05,-28.75,116832.91,D17_048,,-23.85,-33.45,75,1
3973,32,D17,23,39.0,145.05,-47.95,1028047.2,D17_051,D17_04,-34.95,-58.25,75,0
3974,32,D17,23,39.0,-36.85,-20.25,774320.81,D17_038,D17_02,-9.55,-33.05,50,1
3975,32,D17,23,39.0,49.95,-48.15,51519.605,D17_062,,-45.45,-50.15,50,1
3976,32,D17,23,39.0,143.85,-32.25,71322.719,D17_064,,-29.75,-34.85,50,1
3977,32,D17,23,39.0,132.25,52.05,3367633.2,D17_101,D17_05,64.15,34.65,75,1
3978,32,D17,24,39.4,170.45,-45.65,1235044.9,D17_051,D17_04,-29.35,-58.05,75,0
3979,32,D17,24,39.4,-91.95,-42.55,358088.88,D17_060,D17_03,-35.65,-47.45,50,1
3980,32,D17,24,39.4,121.95,50.65,2706727.2,D17_101,D17_05,60.25,30.35,75,1
3981,32,D17,25,39.8,-168.05,-36.95,171348.22,D17_051,D17_04,-32.45,-41.15,50,1
3982,32,D17,25,39.8,-135.45,-49.95,316925.78,D17_057,,-42.05,-56.55,50,0
3983,32,D17,25,39.8,40.45,-51.55,364228.09,D17_058,,-44.95,-58.45,75,0
